,Sentence,Annotation
82,诸如Deutsche Mark、D-Mark和Mark没有复数形式它们的单数形式被用于描述任何数量的钱（例如eine Mark(1马克)和dreißig Mark(30马克)）。,"诸如 nr
Deutsche eng
  x
Mark eng
、 x
D x
- x
Mark eng
和 c
Mark eng
没有 v
复数 n
形式 n
它们 r
的 uj
单数 n
形式 n
被 p
用于 v
描述 v
任何 r
数量 n
的 uj
钱 n
（ x
例如 v
eine eng
  x
Mark eng
( x
1 x
马克 nr
) x
和 c
drei eng
ß x
ig eng
  x
Mark eng
( x
30 m
马克 nr
) x
） x
。 x
"
83,Nizhnekolymsky District （俄文）,"Nizhnekolymsky eng
  x
District eng
  x
（ x
俄文 nz
） x
"
84,这个家族中的若干其它成员也涉及到药物的代谢但CYP3A4是最常见和最多面的一个。,"这个 r
家族 nz
中 f
的 uj
若干 m
其它 r
成员 n
也 d
涉及 v
到 v
药物 n
的 uj
代谢 v
但 c
CYP3A4 eng
是 v
最 d
常见 a
和 c
最 d
多面 m
的 uj
一个 m
。 x
"
85,近世以来考证出一条内嗣曾任南朝关白但同时期史料未见记载。,"近世 t
以来 f
考证 v
出 v
一条 m
内嗣曾 nr
任 v
南朝 t
关白 v
但同 c
时期 n
史料 n
未 d
见 v
记载 v
。 x
"
86,NOx额度交易项目导致臭氧与PM2.5污染度降低在2008年挽救了大约580到1800个生命。,"NOx eng
额度 n
交易 n
项目 n
导致 v
臭氧 n
与 p
PM2 eng
.5 m
污染 vn
度 zg
降低 v
在 p
2008 m
年 m
挽救 v
了 ul
大约 d
580 m
到 v
1800 m
个 m
生命 vn
。 x
"
87,他们担心广告收入会因此减少。,"他们 r
担心 v
广告 n
收入 v
会 v
因此 c
减少 v
。 x
"
88,”因为霍尔本人并未受审她没有获得为她自己辩护的权利而凯普的高级律师诺曼·伯基特（Norman Birkett）说服她不要出庭作证。,"” x
因为 c
霍尔 nr
本人 r
并未 d
受审 v
她 r
没有 v
获得 v
为 p
她 r
自己 r
辩护 v
的 uj
权利 n
而 c
凯普 nrt
的 uj
高级律师 n
诺曼 nrt
· x
伯 nr
基特 nrt
（ x
Norman eng
  x
Birkett eng
） x
说服 v
她 r
不要 df
出庭作证 n
。 x
"
89,常缩写为Quốc Ngữ）是越南语的现代书写方法。,"常 d
缩写 v
为 p
Qu eng
ố x
c x
  x
Ng eng
ữ x
） x
是 v
越南语 nz
的 uj
现代 t
书写 n
方法 n
。 x
"
90,虽然这并非一般的用法突变体的lac o因历史关係会称为lac oc。,"虽然 c
这 r
并非 c
一般 a
的 uj
用法 n
突变体 n
的 uj
lac eng
  x
o eng
因 c
历史 n
关 v
係 zg
会 v
称为 v
lac eng
  x
oc eng
。 x
"
91,2012至2013财年巴士公司共有各类客车518辆其中铰接客车111量40英尺标准巴士374辆以及小型巴士33辆。,"2012 m
至 p
2013 m
财年 n
巴士 ns
公司 n
共有 v
各类 r
客车 n
518 m
辆 m
其中 r
铰接 v
客车 n
111 m
量 n
40 m
英尺 q
标准 n
巴士 ns
374 m
辆 m
以及 c
小型 b
巴士 ns
33 m
辆 m
。 x
"
92,为促进女童教育沃森曾走访孟加拉国和赞比亚。,"为 p
促进 v
女童 n
教育 vn
沃森曾 nr
走访 v
孟加拉国 ns
和 c
赞比亚 ns
。 x
"
93,但关係诠释允许不同的观察者可以对相同的系列事件给出不同的描述这些描述取决于它们所测知关于这个系统的信息。,"但 c
关 v
係 zg
诠释 v
允许 v
不同 a
的 uj
观察者 n
可以 c
对 p
相同 d
的 uj
系列 q
事件 n
给出 v
不同 a
的 uj
描述 v
这些 r
描述 v
取决于 v
它们 r
所 c
测知 v
关于 p
这个 r
系统 n
的 uj
信息 n
。 x
"
94,促进身心健康成长。,"促进 v
身心健康 l
成长 v
。 x
"
95,因为政府关心无注册的伊斯兰学校偏离正规教育要求促进好战的意识形态政府已经关闭了4500多所这些机构驱逐了在那裡学习的外国学生。,"因为 c
政府 n
关心 n
无 v
注册 v
的 uj
伊斯兰 ns
学校 n
偏离 v
正规 a
教育 vn
要求 v
促进 v
好战 v
的 uj
意识形态 l
政府 n
已经 d
关闭 v
了 ul
4500 m
多所 m
这些 r
机构 n
驱逐 v
了 ul
在 p
那裡 r
学习 v
的 uj
外国 ns
学生 n
。 x
"
96,这两个项目也有其名字 - Ju 248 Flunder（牙鲆）和Me 263 Scholle（鲽）。,"这 r
两个 m
项目 n
也 d
有 v
其 r
名字 n
  x
- x
  x
Ju eng
  x
248 m
  x
Flunder eng
（ x
牙鲆 n
） x
和 c
Me eng
  x
263 m
  x
Scholle eng
（ x
鲽 g
） x
。 x
"
97,每一位参赛者的分数从75分起跳满分是100分。,"每 zg
一位 m
参赛者 n
的 uj
分数 n
从 p
75 m
分 v
起跳 v
满分 d
是 v
100 m
分 v
。 x
"
98,公诉方认为事先已经批准改变庭审地点因此案发地点的证明应该是一件无关紧要的事但法官仍然维持裁定州长德沙的声誉也受到进一步打击。,"公诉方 n
认为 v
事先 d
已经 d
批准 v
改变 v
庭审 n
地点 n
因此 c
案发地点 n
的 uj
证明 n
应该 v
是 v
一件 m
无关紧要 l
的 uj
事 n
但 c
法官 n
仍然 d
维持 v
裁定 v
州长 n
德沙 ns
的 uj
声誉 n
也 d
受到 v
进一步 d
打击 v
。 x
"
99,荷兰阿姆斯特丹名称已出现于文献。,"荷兰 ns
阿姆斯特丹 ns
名称 n
已 d
出现 v
于 p
文献 n
。 x
"
100,,"nan eng
"
101,这是你们的主所降示的减轻和慈恩。,"这 r
是 v
你们 r
的 uj
主所 n
降示 v
的 uj
减轻 v
和慈恩 nr
。 x
"
102,我是个贼，Trent先生。,"我 r
是 v
个 q
贼 n
， x
Trent eng
先生 n
。 x
"
103,人人都能变天才？,"人人 n
都 d
能变 v
天才 n
？ x
"
104,又一个自由主义者明天将会离开这个地球。,"又 d
一个 m
自由主义 n
者 k
明天 t
将 d
会 v
离开 v
这个 r
地球 n
。 x
"
105,她协助创建了天空和大地。,"她 r
协助 v
创建 v
了 ul
天空 n
和 c
大地 n
。 x
"
106,明天制度也会奴役你。,"明天 t
制度 n
也 d
会 v
奴役 n
你 r
。 x
"
107,空气污染总是伴随着所有文明。,"空气污染 i
总是 c
伴随 v
着 uz
所有 b
文明 nr
。 x
"
108,是的，我是一本有关环境的书。,"是 v
的 uj
， x
我 r
是 v
一本 m
有关 vn
环境 n
的 uj
书 n
。 x
"
109,他们指望着你来指导他们。,"他们 r
指望 v
着 uz
你 r
来 v
指导 n
他们 r
。 x
"
110,我永远都不会忘记我们共同创建的那个无声的世界。,"我 r
永远 d
都 d
不会 v
忘记 v
我们 r
共同 d
创建 v
的 uj
那个 r
无声 d
的 uj
世界 n
。 x
"
111,我为我的父母感到羞愧。,"我 r
为 p
我 r
的 uj
父母 n
感到 v
羞愧 a
。 x
"
112,目前，他计划将这种机器的生产拓展到106个国家。,"目前 t
， x
他 r
计划 n
将 d
这种 r
机器 n
的 uj
生产 vn
拓展 v
到 v
106 m
个 m
国家 n
。 x
"
113,但没有人说杜鲁门总统是恐怖分子，,"但 c
没有 v
人 n
说 v
杜鲁门 nr
总统 n
是 v
恐怖分子 n
， x
"
114,在那之前，我梦想着逃跑。,"在 p
那 r
之前 f
， x
我 r
梦想 n
着 uz
逃跑 v
。 x
"
115,不要来参加我们的会议，除非你们有了有关月球诞生的话要说。,"不要 df
来 v
参加 v
我们 r
的 uj
会议 n
， x
除非 c
你们 r
有 v
了 ul
有关 vn
月球 n
诞生 v
的话 u
要说 c
。 x
"
116,也许我会在死者中找到他们。,"也许 d
我会 n
在 p
死者 n
中 f
找到 v
他们 r
。 x
"
117,我命令整个政府立即采取行动。,"我 r
命令 n
整个 b
政府 n
立即 d
采取行动 n
。 x
"
118,但我们中没有人‘吃了’外国宗教。,"但 c
我们 r
中 f
没有 v
人 n
‘ x
吃 v
了 ul
’ x
外国 ns
宗教 n
。 x
"
119,他当时反问道：“你会烧掉自己用超过20年时间建成的唯一一座纪念碑吗？”。,"他 r
当时 t
反 zg
问道 n
： x
“ x
你 r
会 v
烧掉 v
自己 r
用 p
超过 v
20 m
年 m
时间 n
建成 v
的 uj
唯一 b
一座 m
纪念碑 n
吗 y
？ x
” x
。 x
"
120,我只是想尊重原始的DNA”。,"我 r
只是 c
想 v
尊重 a
原始 v
的 uj
DNA eng
” x
。 x
"
121,六月十日：尽管革命仍在进行，科学研究仍然继续。,"六月 t
十日 t
： x
尽管 c
革命 vn
仍 d
在 p
进行 v
， x
科学研究 n
仍然 d
继续 v
。 x
"
122,为了我们的孩子，也为了你，萨曼莎。,"为了 p
我们 r
的 uj
孩子 n
， x
也 d
为了 p
你 r
， x
萨曼 nr
莎 nr
。 x
"
123,这也显示出102是一个哈沙德数。,"这 r
也 d
显示 v
出 v
102 m
是 v
一个 m
哈沙德 nr
数 n
。 x
"
124,它将不再在世界任何地方建造核电厂。,"它 r
将 d
不再 d
在 p
世界 n
任何 r
地方 n
建造 v
核电厂 n
。 x
"
125,我相信我们可以一起建设和发展。,"我 r
相信 v
我们 r
可以 c
一起 m
建设 vn
和 c
发展 vn
。 x
"
126,送礼者在哪里？,"送礼者 n
在 p
哪里 r
？ x
"
127,所以我告诉爸爸，是时候让这小女孩吃东西了。,"所以 c
我 r
告诉 v
爸爸 n
， x
是 v
时候 n
让 v
这 r
小女孩 n
吃 v
东西 ns
了 ul
。 x
"
128,到2011年，轮船的数量已经下降到103艘（估计）。,"到 v
2011 m
年 m
， x
轮船 n
的 uj
数量 n
已经 d
下降 v
到 v
103 m
艘 m
（ x
估计 v
） x
。 x
"
129,巴勒斯坦一直是贸易的十字路口；现在，这种贸易也延伸到了欧洲。,"巴勒斯坦 ns
一直 d
是 v
贸易 vn
的 uj
十字路口 l
； x
现在 t
， x
这种 r
贸易 vn
也 d
延伸 v
到 v
了 ul
欧洲 ns
。 x
"
130,没有交易或生产在非均衡价格发生。,"没有 v
交易 n
或 c
生产 vn
在 p
非均衡 b
价格 n
发生 v
。 x
"
131,我宁愿和他们一起淹死也不愿离开他们。,"我 r
宁愿 d
和 c
他们 r
一起 m
淹死 v
也 d
不 d
愿 v
离开 v
他们 r
。 x
"
132,我在三岁的时候使用DOS。,"我 r
在 p
三岁 m
的 uj
时候 n
使用 v
DOS eng
。 x
"
133,它仍有待实施由欧洲联盟 (CLP条例)在2009年。,"它 r
仍 d
有待 v
实施 v
由 p
欧洲联盟 nt
  x
( x
CLP eng
条例 n
) x
在 p
2009 m
年 m
。 x
"
134,明天你将被处决，但这是为了一个好的目标。,"明天 t
你 r
将 d
被 p
处决 v
， x
但 c
这 r
是 v
为了 p
一个 m
好 a
的 uj
目标 n
。 x
"
135,城堡和花园可以在春季和夏季参观。,"城堡 ns
和 c
花园 n
可以 c
在 p
春季 t
和 c
夏季 t
参观 n
。 x
"
136,他否认所有控罪。,"他 r
否认 v
所有 b
控罪 v
。 x
"
137,这是一个事实，800年前在这座城市犯下了一件罪行。,"这 r
是 v
一个 m
事实 n
， x
800 m
年前 t
在 p
这 r
座 q
城市 ns
犯下 v
了 ul
一件 m
罪行 n
。 x
"
138,它不再被作为单独标准开发。,"它 r
不再 d
被 p
作为 v
单独 d
标准 n
开发 v
。 x
"
139,我也可以讲，十五年后我们可能赶上或者超过英国。,"我 r
也 d
可以 c
讲 v
， x
十五年 m
后 f
我们 r
可能 v
赶上 d
或者 c
超过 v
英国 ns
。 x
"
140,大厅内的欢欣在哪里？,"大厅 n
内 f
的 uj
欢欣 a
在 p
哪里 r
？ x
"
141,这包括“跨国”历史，有时也包括国际史。,"这 r
包括 v
“ x
跨国 n
” x
历史 n
， x
有时 r
也 d
包括 v
国际 n
史 nr
。 x
"
142,在2004年柏林召开的欧洲可再生能源会议上，欧盟确定了自己的雄心勃勃的目标。,"在 p
2004 m
年 m
柏林 nr
召开 v
的 uj
欧洲 ns
可 v
再生能源 l
会议 n
上 f
， x
欧盟 j
确定 v
了 ul
自己 r
的 uj
雄心勃勃 i
的 uj
目标 n
。 x
"
143,然而，直到1967年以前，它是其他几条街道的一部分。,"然而 c
， x
直到 v
1967 m
年 m
以前 f
， x
它 r
是 v
其他 r
几条 m
街道 n
的 uj
一部分 m
。 x
"
144,还注意到，没有任何一个工人能有效地做任务 3。,"还 d
注意 v
到 v
， x
没有 v
任何 r
一个 m
工人 n
能 v
有效 a
地 uv
做 v
任务 n
  x
3 x
。 x
"
145,无论如何，我都不希望成为想乔治·布什那样的人”。,"无论如何 l
， x
我 r
都 d
不 d
希望 v
成为 v
想 v
乔治 nr
· x
布什 nrt
那样 r
的 uj
人 n
” x
。 x
"
146,1953年末，像Tropic of Cancer和From Here to Eternity这样的书依然被禁。,"1953 m
年末 t
， x
像 v
Tropic eng
  x
of eng
  x
Cancer eng
和 c
From eng
  x
Here eng
  x
to eng
  x
Eternity eng
这样 r
的 uj
书 n
依然 d
被 p
禁 v
。 x
"
147,2012年1月，该公司又分为两家公司，Paradox Interactive和Paradox Development Studio。,"2012 m
年 m
1 m
月 m
， x
该 r
公司 n
又 d
分为 v
两家 m
公司 n
， x
Paradox eng
  x
Interactive eng
和 c
Paradox eng
  x
Development eng
  x
Studio eng
。 x
"
148,土耳其人民，我永远与你们站在一起，争取这项权利。,"土耳其 ns
人民 n
， x
我 r
永远 d
与 p
你们 r
站 v
在 p
一起 m
， x
争取 v
这项 r
权利 n
。 x
"
149,换句话说，他们不应该太早出来。,"换句话说 c
， x
他们 r
不 d
应该 v
太 d
早 a
出来 v
。 x
"
150,这一“双重战略”将在接下来的五年内主导英国的政策。,"这 r
一 m
“ x
双重 n
战略 n
” x
将 d
在 p
接下来 l
的 uj
五年 t
内 n
主导 b
英国 ns
的 uj
政策 n
。 x
"
151,Bonkras用了1小时55分钟。,"Bonkras eng
用 p
了 ul
1 m
小时 n
55 m
分钟 q
。 x
"
152,3GPP2也提供关于它的系统的类似信息。,"3 m
GPP2 eng
也 d
提供 v
关于 p
它 r
的 uj
系统 n
的 uj
类似 v
信息 n
。 x
"
153,我们需要去考虑这些技术如何将我们揭示（或去蔽）。,"我们 r
需要 v
去 v
考虑 v
这些 r
技术 n
如何 r
将 d
我们 r
揭示 v
（ x
或 c
去蔽 v
） x
。 x
"
154,"超过10,000个科学出版物讨论TTF及其衍生物。","超过 v
10 m
, x
000 m
个 m
科学 n
出版物 n
讨论 v
TTF eng
及其 c
衍生物 n
。 x
"
155,任何其他的东西对我们平台都是自杀。,"任何 r
其他 r
的 uj
东西 ns
对 p
我们 r
平台 n
都 d
是 v
自杀 v
。 x
"
156,没有犯下错误：我们写下了历史。,"没有 v
犯下 v
错误 n
： x
我们 r
写下 v
了 ul
历史 n
。 x
"
157,“我从没想过要当一名政治家，但今天我作为一个市长在你们面前发言，”她说。,"“ x
我 r
从没 d
想 v
过 ug
要 v
当 p
一名 m
政治家 n
， x
但 c
今天 t
我 r
作为 v
一个 m
市长 n
在 p
你们 r
面前 f
发言 v
， x
” x
她 r
说 v
。 x
"
158,推翻你们的政府吧，他们不关心你。,"推翻 v
你们 r
的 uj
政府 n
吧 y
， x
他们 r
不 d
关心 n
你 r
。 x
"
159,同时，萨勒曼国王任命了26名新法官。,"同时 c
， x
萨 nr
勒曼 nrt
国王 n
任命 n
了 ul
26 m
名 m
新 a
法官 n
。 x
"
160,如果没有，科学家将继续坚持既定的概念框架。,"如果 c
没有 v
， x
科学家 n
将 d
继续 v
坚持 v
既定 b
的 uj
概念 n
框架 n
。 x
"
161,总统在他/她旅行的每一架飞机上使用它。,"总统 n
在 p
他 r
/ x
她 r
旅行 vn
的 uj
每 r
一架 m
飞机 n
上 f
使用 v
它 r
。 x
"
162,你可以取得指挥权，但是我认为我们将被捉住并被杀死。,"你 r
可以 c
取得 v
指挥权 n
， x
但是 c
我 r
认为 v
我们 r
将 d
被 p
捉住 v
并 c
被 p
杀死 v
。 x
"
163,但他不总是喝醉。,"但 c
他 r
不 d
总是 c
喝醉 v
。 x
"
164,例如，假设在夏天时的苹果100%也是红色的。,"例如 v
， x
假设 vn
在 p
夏天 t
时 ng
的 uj
苹果 n
100 m
% x
也 d
是 v
红色 n
的 uj
。 x
"
165,给我们你的14张照片，我们就能辨别出你。,"给 p
我们 r
你 r
的 uj
14 m
张 nr
照片 n
， x
我们 r
就 d
能 v
辨别 v
出 v
你 r
。 x
"
166,我估计每年我在家里的时间只有四天”。,"我 r
估计 v
每年 r
我 r
在 p
家里 s
的 uj
时间 n
只有 c
四天 m
” x
。 x
"
167,此外，一些国家支付额外的SSI资金。,"此外 c
， x
一些 m
国家 n
支付 v
额外 b
的 uj
SSI eng
资金 n
。 x
"
168,然而，这两名机组成员都在法庭上说这些灯是绿色的。,"然而 c
， x
这 r
两名 m
机组 n
成员 n
都 d
在 p
法庭 n
上 f
说 v
这些 r
灯 n
是 v
绿色 n
的 uj
。 x
"
169,如果你们想让匈牙利人越过多瑙河，那么让他们来吧。,"如果 c
你们 r
想 v
让 v
匈牙利人 n
越过 d
多瑙河 ns
， x
那么 r
让 v
他们 r
来 v
吧 y
。 x
"
170,1908年，一个政府委员会将这些相关事件联系得更紧密。,"1908 m
年 m
， x
一个 m
政府 n
委员会 n
将 d
这些 r
相关 v
事件 n
联系 n
得 ud
更 d
紧密 a
。 x
"
171,骨头（尤其是鼻子）可能会畸形 。,"骨头 n
（ x
尤其 d
是 v
鼻子 n
） x
可能 v
会 v
畸形 n
  x
。 x
"
172,在委内瑞拉，每21分钟就有一个人被谋杀。,"在 p
委内瑞拉 ns
， x
每 r
21 m
分钟 q
就 d
有 v
一个 m
人 n
被 p
谋杀 v
。 x
"
173,至少四十名（波兰）男子”是犯罪的肇事者。,"至少 d
四十名 m
（ x
波兰 ns
） x
男子 n
” x
是 v
犯罪 vn
的 uj
肇事者 n
。 x
"
174,十四个新委员会于1980年开始有效地工作。,"十四个 m
新 a
委员会 n
于 p
1980 m
年 m
开始 v
有效 a
地 uv
工作 vn
。 x
"
175,有些人需要一场地震来唤醒他们。,"有些 r
人 n
需要 v
一场 m
地震 n
来 v
唤醒 v
他们 r
。 x
"
176,“我们如此和平生活了8个月，现在这一切都将重新开始。,"“ x
我们 r
如此 c
和平 nz
生活 vn
了 ul
8 m
个 m
月 m
， x
现在 t
这 r
一切 r
都 d
将 d
重新 a
开始 v
。 x
"
177,自1973年起，此站以两座世界贸易中心命名。,"自 r
1973 m
年 m
起 v
， x
此 r
站 v
以 p
两座 m
世界贸易中心 nt
命名 n
。 x
"
178,经过23小时她自由攀登了整条路径。,"经过 p
23 m
小时 n
她 r
自由 a
攀登 v
了 ul
整条 m
路径 n
。 x
"
179,这是澳大利亚官方旗帜之一，并拥有特殊的法律和政治地位。,"这 r
是 v
澳大利亚 ns
官方 n
旗帜 n
之一 r
， x
并 c
拥有 v
特殊 a
的 uj
法律 n
和 c
政治 n
地位 n
。 x
"
180,约有875家餐馆和旅馆由合作社和政府组织公开管理。,"约 d
有 v
875 m
家 m
餐馆 n
和 c
旅馆 n
由 p
合作社 l
和 c
政府 n
组织 v
公开 ad
管理 vn
。 x
"
181,耶稣似乎表现出类似的风格。,"耶稣 nr
似乎 d
表现 v
出 v
类似 v
的 uj
风格 n
。 x
"
182,他说：“她不喜欢查尔斯而且他也不喜欢她。,"他 r
说 v
： x
“ x
她 r
不 d
喜欢 v
查尔斯 nr
而且 c
他 r
也 d
不 d
喜欢 v
她 r
。 x
"
183,很快我将被发现和杀死，像其他人那样。,"很快 d
我 r
将 d
被 p
发现 v
和 c
杀死 v
， x
像 v
其他人 rr
那样 r
。 x
"
184,2008年初（及之后的多次场合），几个重要的官员们开会讨论该如何处置哈桑。,"2008 m
年初 t
（ x
及 c
之后 f
的 uj
多次 m
场合 n
） x
， x
几个 m
重要 a
的 uj
官员 n
们 k
开会讨论 n
该 r
如何 r
处置 v
哈桑 nrt
。 x
"
185,在道路上，你可以走向未知的世界。,"在 p
道路 n
上 f
， x
你 r
可以 c
走向 v
未知 v
的 uj
世界 n
。 x
"
186,你必须寻找你的敌人，打你的战争。,"你 r
必须 d
寻找 v
你 r
的 uj
敌人 n
， x
打 v
你 r
的 uj
战争 n
。 x
"
187,"扩大后的12年，欧盟仍在""消化""这一变化。","扩大 v
后 f
的 uj
12 m
年 m
， x
欧盟 j
仍 d
在 p
"" x
消化 vn
"" x
这 r
一 m
变化 vn
。 x
"
188,伊拉克同时估算了大约有价值$24亿美元的伊拉克石油被科威特“偷采”，并要求科威特予以赔偿。,"伊拉克 nrt
同时 c
估算 v
了 ul
大约 d
有 v
价值 n
$ x
24 m
亿美元 m
的 uj
伊拉克 nrt
石油 n
被 p
科威特 nr
“ x
偷采 v
” x
， x
并 c
要求 v
科威特 nr
予以 v
赔偿 v
。 x
"
189,我呼吁所有的家长要求他们的孩子留在家里”。,"我 r
呼吁 v
所有 b
的 uj
家长 n
要求 v
他们 r
的 uj
孩子 n
留在 v
家里 s
” x
。 x
"
190,摩尔多瓦民主党期待未来。,"摩尔多瓦 nrt
民主党 nt
期待 v
未来 t
。 x
"
191,当我们吃这个城市的时候，我们正在用欲望去品尝这个城市，但与此同时，我们正在摧毁城市并将其变成废墟。,"当 t
我们 r
吃 v
这个 r
城市 ns
的 uj
时候 n
， x
我们 r
正在 t
用 p
欲望 v
去 v
品尝 v
这个 r
城市 ns
， x
但 c
与此同时 c
， x
我们 r
正在 t
摧毁 v
城市 ns
并 c
将 d
其 r
变成 v
废墟 n
。 x
"
192,我拥有的唯一朋友是玛丽，我不想要其他任何人,"我 r
拥有 v
的 uj
唯一 b
朋友 n
是 v
玛丽 nr
， x
我 r
不 d
想要 v
其他 r
任何人 r
"
